feature,label
(()()()((())())(()())()((()))()((),))
(()((())()((()())())((())),))
(()(()()()()),)
,
(((()())()()()()()())(())((()))(),)
(()()()(()(())()(,)))
(()()(,))
((()()(()))()()()(,))
,
(()((()))()()(())()()((,)))
((())(()()()(())()()(())(,)))
(()(()())(())((()))()()()()((,)))
(()(()(((()())))(()()()())()()(),))
(((()()()())()()())()((())(,)))
,
(()()()(((()))()(),))
((()(()())()(())(()()(,))))
(()((())()()())(,))
((())()()(()()())(())()((),))
((((())()())((()))()())((),))
(()()(()()()(()()()))(((,))))
(()(()())()()()()(()(())()(),))
((())(()(()))()(,))
,
((()(())())((()())()())((),))
,
(()()(((,))))
,
(((())()()())()((,)))
,
((())(()())(()((,))))
((()()((())(()(),))))
((()(())(())())(())()((()(,))))
((())(()(),))
(()()(()((())(()())(())()())(())()()),)
((()(()()())(()())((()())),))
(()(())((,)))
((())()((())),)
((()()())()((,)))
((,))
(()()(()(),))
((()()())(()(((,)))))
,
(()(())(())(())()()(()()())()(),)
(((())(()(())()(())))(())((()(),)))
((())()(()())(())((())(,)))
(()()()()(()(())),)
(()(()(),))
(()()(())(,))
(()(()((())())()(,)))
(()()(())()()(),)
((())(())(())(()()())(,))
,
(,)
((())()()()()((()())()()())(()),)
((()()()()()(()())()(((()))))(),)
(()(()())()()()(()())(),)
((())((,)))
(((())(,)))
((()())()((()()()()(,))))
(((()))()()()()(,))
(()(())(),)
((()()()()(())()(())()(()()()),))
((()())(()(()()())()(,)))
(()((()()()))()()()(),)
((())()((,)))
(()(()((()()))()(())())(())(,))
(()()()()(()())()(,))
(((()),))
(()((()()(())()())((,))))
(()()((()()(())()()(()()(,)))))
(()((())(()()())())(,))
(()()(),)
(()((()())(()))()((,)))
((())()(()(()())((,))))
((()())((())(())()())(,))
((())()()()(()())()(()(,)))
(()(()())()()()(()(,)))
((()(()))()()()()(((()))()),)
((())()(())()(())(,))
((()()((,))))
((()()())(()()()(,)))
(()()(()()())(()(())(((),))))
((()()()()(())()()(((()()),))))
(()(((())())),)
(()()()(()()()(())()),)
((,))
(()()(()(())),)
(()(()(()())()())()(()()((,))))
(()(((()(,)))))
(()(())()()()()(())(()())()(,))
(()()()(()()(()()()))(())((,)))
(()()(()()(()(())())())()()(())(),)
(()()()()((,)))
((()()(()()(())()(())())(())(,)))
((())(())(())(())(())((())(,)))
(()()(()(()(()()))((())())(),))
((()())()()((())()(()())()())(,))
(()(())(()()())()()(),)
(((())()(()))(())(()((())))(()(,)))
(()((()()()())()()),)
(()((())())(),)
(()()()(())()(()(()))(()()()()(),))
((())(((()),)))
(((()))(,))
(()((())),)
(()()()((()))()(,))
(((((),))))
(()()((()((()))())()((()()()))())(,))
(((()()())()(,)))
(((()()))()(())()(()())((,)))
,
(()()()(())()(())(()),)
((()(()())()(())()(()())(,)))
((()()())((),))
(()((()()())(())())()()((())())(),)
(()((())()())(()((()())(),)))
(()(())((()()))()((())()(),))
,
((())(())()()(()()(())(())(),))
(()()(())()()()(,))
((()(()()))(())()(((()()))(())),)
,
(()()()()(())(()())()()()()(,))
(()(((())())()((),)))
(()()()(((()))((()())))(()(),))
((()())((())((()))()()(,)))
(((()))((())()(())()((((()),)))))
(()(()())()()()()()(())(()()(((,)))))
(()()()()(()(())())()()()()(())(),)
(()()()()()(())()(,))
(((())())()(())(((())(())(())))(,))
(()()(()(()()()()(()()(),))))
,
(()(())((()())()(())),)
(()(()()((()()()((())()))()()()),))
,
(()((()))(())()(()(,)))
(()(()(())(())()()((),)))
((())()()()()()()()(()())((,)))
(()((())((())()()()())())(),)
(()(()(()())()()(())((),)))
((())((()()))()()(())(())(()(),))
(((()))(()),)
((())(())()((),))
((())(,))
(()()(())(((()),)))
(()((()())(()(())(),)))
((()()())()()(()(,)))
(()()()(()()((()())()()()(,))))
(((()(())(())(,))))
(()()((()((())()))((,))))
((((())())((()))()()(()()(())),))
(()(()()(),))
(((())()()()((()))()),)
(()(())()()()(,))
(()((())())(())((())()(,)))
(()((()()()()((()))))(()),)
(()(()())(()(()()()()()),))
(()(())()(()()(()())(),))
((()()())()()(()())(()())()()()(,))
(()()((()()))()((,)))
((()())()(,))
(()()()()(())()(,))
((())((())()(())())()((,)))
((()()((())()(()))()(()),))
((())()()()()()((()))((()),))
((()((()())))()(())(((,))))
((()()())(()())()()()()(()(()(),)))
(()((())()((),)))
((()()()()()()())()()(())(()(()(),)))
((()()(()()()()))(()())((),))
(()(())(),)
(()()()(()(()()())(()))(()()(,)))
(()()()()()((())((()))()()(,)))
(((())(,)))
,
((()()()()(())()()(((()(())(()))))),)
((())(()()()()(())()()((),)))
((())()(()(())(,)))
,
(()(())()((())(()())((()())(),)))
(()()()((),))
((())()()()()()(()()(,)))
(((()))()()(())(()),)
(()(())(()(())(,)))
(()(()()(())())((),))
(((()(,))))
((()(()()))()()()(,))
(((())(()())()()())()(,))
((())((),))
((()()()()(()()(()()()))),)
,
(((()()())((()))()()(()(),)))
,
(()()(())(()(()()))(((),)))
(()((())(()()((()))))(()(())())(,))
(()()()()(((()())),))
((()()(((())()(()))))(())(()())((,)))
(()()((()),))
((())(()())()(()()),)
(((()())()())()()(())((()))()()(,))
((()()())(()()()(()(,))))
(((()(()))(()(()())),))
((()(())())()()(())(())(())(,))
(()()()(()()()),)
(()()(()()()((()))())(,))
(()(((),)))
(()(()())(())(()()((()()())),))
((()(()()())()()(())(())()()())(()()),)
(()(((())()))()(,))
((((()()())))((())()())(,))
((())()(((((())()))))()(,))
((()())(())()(((())()))(((,))))
(()(((())()()()())()(,)))
((()())()(,))
((())(())()()(()())((),))
(((,)))
(()(())(((())))((()())(()))((),))
(((()())())()((),))
(()(())(()((),)))
,
((()()((()))(),))
(()()()(())()()()(()()((,))))
(()()()(())((()))()(()(()))((()()),))
((()(())())()((,)))
(()()()()()(()())()(())()(())(,))
((())(,))
,
((())(())()((()()))()()()(),)
(()(((()))(()),))
((())(()()()()())((())()()(),))
,
(()(()()()(())())()()(())()(,))
(()(()(()(()()()())()())(),))
(((())(()())()()(()()()())(()()),))
(()()()(())()()()(),)
((()),)
(()(())()(())()(()((())()),))
(()()()(()())((())((,))))
((())(()()()((()))(())()(,)))
(()(())((()()()(,))))
(()()()()((()),))
((()()()(()()())())(,))
(()(()()(,)))
(()((()))((())(()())()()()(,)))
(()()()(())()(()()()()()()())()(,))
(()()()((())()((()))(()()())()(,)))
(((()))()((,)))
(((()()))()()(())()()()()(()()(,)))
,
((())()((()())())(())(),)
(((())()(())(())(()(,))))
(()((()())())(()()())()(()()()()())(,))
((())((())())(()()())(())(,))
(()(()())()()(())(,))
(()(())((()())(())()(,)))
((()())()(())(()()()()()(,)))
(((),))
(()()(())(()()(())()()(())(),))
((())()()()((),))
((()())((())())(())()(())()(()),)
(((((()))())()())(,))
(()()(()(())(,)))
(()()(())()()((()())(()),))
(()(())()((()()()))(())(()()(()())(),))
(()(())()(())()()()((()())),)
((,))
(()(())(()()),)
((),)
(()(()(()(())()())((,))))
,
((((()))())()(),)
((())((),))
(()(()(()())()()())(())()()((,)))
(((()()()))(()()((,))))
(()()()(()())(()(((())()),)))
((((),)))
(()()(()()()(((()))))(),)
(()(()()())(())(()((),)))
(()()()(()(())((())(),)))
(()()()(()(()()))(,))
((())(),)
(()()()(()()())(),)
((()()())(()())()()(())()()(,))
(((()())(())()())(),)
((())(())((,)))
((((((())(())()))(()))()(,)))
((()(()))()(()(()))()(,))
(()()(())()()(()()()(())((),)))
(()(()(()())())(())()()()()((()(,))))
(()(()(()())()()())(((())))(()())((,)))
((())()(()),)
(()()(())(())()()(,))
(()()(())((()(())(())))(((())),))
(()(()(()))()(())()((,)))
(()(((()))()()((()())()(()())))(,))
(((())()())(()(()(()))()(,)))
(()()(((()()()(),))))
(()(()())(()(()())()),)
((()())()()((()())()()()(),))
((()()()((()())())())()(,))
((()()()((()),)))
(()(((()())))((()()(()))()()(()))(),)
((()()()()()((())())((())))(())()((,)))
((())()()(),)
(()(())(())()(()(()()()),))
(()()(())((()())()(())((,))))
((())((())(()()())())()(,))
,
(()()((,)))
(()(())()(()()(()())())()((())())(,))
,
(((()(()())()))()()(,))
((()()()(()()))()()(()(),))
(()()()(())()((()()))(()()()(()(),)))
(((())()()((())())()()()(),))
((()())()(,))
(()(()()(())(,)))
(((())())(()()())()()(,))
((((()())))(()())(()()(()()(,))))
((())(())(),)
(()()()()()(())((()))((()))((,)))
((()()()())()(()())()()(())(()()),)
(()(())((()()()()()()(),)))
(()()(()(()),))
(((()()())()(())(()()),))
(()(()(((()),))))
(()(()()())()()((()),))
(()((()(())(())()))(),)
(()(()()()()())()()(()()()()(),))
((()()()()()(()())((,))))
(()(()())((()())())()((,)))
(()(())(((((())))())(,)))
(()((()))(())(()())()()(),)
(((()())(),))
(()(())(())(()((),)))
(()()((())(()()())(()),))
(()(()()()(()()()))()()()(),)
(()()((((()())())()()(()((,))))))
(()(()()((())()()()(()))()()(,)))
((((())()()()())()())(),)
,
(()((()()())),)
(()()()()()(())()(,))
(((())()(()())(()(()()()))()),)
((()())()((())())()()()()((),))
((()())()(()()()),)
(((())()())()(()())()(()((,))))
(()()()((())()(),))
(()()(()()()(()())(()))(())((,)))
(()(()((()))()())((())())()(,))
((()()(()))()()(()(()))()(,))
(()(()()()())(()()())(()(()))((,)))
((()())(),)
(()()()()(())()()(,))
(((),))
((((()))(()()))(((())()()))(),)
((()(()())()()),)
((),)
((()())((()))(()())(,))
((()()(()))((())())(),)
(()(()()())()(()((,))))
((()()(()()(())()()))(()()()()())(,))
((())(()(()),))
(()(())((()))(()),)
(()(,))
(()()(())(()())(,))
(()(()())(()())((())((())))(()(()),))
(()(()())(())()(()(,)))
((())()(()()())(,))
(()(),)
((())(,))
(()()(())(,))
(()()(()()(()()))()((())(,)))
(()()()()(),)
(()()((())()()(()))(()()(),))
(()(())((())())(()(()(,))))
,
(()((()))(()()(()()())((),)))
(()()(())((()())(()())(()()(,))))
((())()()((),))
(()((()()()()())()(()))((()()),))
(()((())())((()()))(())(())(()())(()),)
(((()(())(())),))
,
((()())(())()()((()(),)))
(((())()()()()())()(())((),))
((())()(())()(())()()(),)
(()((((())))(()()))(()())((())),)
(()((()))()()(()()())(()())(,))
(()(())()(,))
((()()()())(()(,)))
(()()(()()),)
(()()(,))
(((),))
(((()()()))(,))
((()())(())((,)))
(()(,))
(()()()()(()()())(,))
((),)
(((()))(,))
((()()())()()(,))
((()())(())()()()((,)))
(((()))()()(())()(()()((),)))
(()(())(()()((()())())(()()))(),)
(()()(()())(()(())(,)))
((())((,)))
(()()()()(()(())(())())()()()()((,)))
(()(())()()()((,)))
(()(())(())(((())())()),)
(()()()((())()())(()())(,))
(((())(,)))
(,)
((()()(((),))))
(()()()(())(())(()())(,))
(()()(()()()()),)
((())()(())()()(())(()()())(,))
(((()())()()((())))(())(),)
(((())()())(()()()(()((((),))))))
((()())()()(())()()(,))
(((()()))(,))
(()(())()(()(())()()()(())()()()(,)))
(()()()(()())(())(())(((,))))
((())()(())(,))
(()()(((),)))
(()()()(((),)))
(()((()()()(()(())))()(()())(,)))
(()(())(())(()())()()(),)
((()(())(()))(())((),))
((())()()(()(()())())((,)))
(((()()(())()())()()((()))(((,)))))
(()(())()(()()())(((((()))())()())),)
(()(,))
(((()))()()(()())()()(()(),))
(()(())()()()()(()()(()())())(()(),))
(()()()((()()(()))()()()),)
((())(()(())())(()()()(()))(((()()),)))
(()()()(())()(()()),)
((())((())()())()((()))(,))
(()(()(()()(())()())(),))
((())((()))()()()()()()()(),)
((()(())()(())()(()())())(())()(),)
((()(()()()))()(())(),)
(()(())()()()((()))((,)))
(()()()(())(()),)
(()()(()(())(()())()()()()()),)
(()(()()())(()()()())(,))
(()(())(())()(()()())()()()()(),)
(((())()((()))()(()))(()()(,)))
(((())(())()(()),))
((()())(((()()(,)))))
(()(())(())(()())()()(),)
(()()((()()()))()((((,)))))
(()(())()(())(()()),)
((()((()()())())(())()(),))
((()())((()))((()())((),)))
(()(()()()()(())(())()((()()()),)))
((()((()())()))()(,))
((((()))(())()()())()()()(,))
(()()()()()()()(()()())((,)))
(()(())()((()),))
((()(()))()()()()(),)
(((()))(())()(())()(()),)
((())(())(),)
(()(())()(()()(,)))
(()(())(())()()()(((),)))
((()()(()((())))(())(),))
(()()((())()()()()(),))
(()(()()(),))
((())()(())(()(()),))
((,))
((())(()(()()()))()()()()(()())()(),)
(()()()()(()())()(,))
(()()()()(())()(()())(()((()),)))
(()(())(())(()()(())()(),))
(()()()()(()(()),))
((,))
((),)
((())(()(()()(()(())()())))(,))
(()()()(()())(()(()((()),))))
(()()()()(()),)
((())()()(()(((((,)))))))
((()(())()()()(((()))(()))(),))
((()())(()()(,)))
((())()()()()()(()((())),))
((())()()()()(()()())()()((,)))
((())(())((),))
,
(()()(())(()(()()))()(,))
(()(()())(()((())))(,))
((),)
(()((()))(),)
(((())())(()())(,))
,
(()()()(())(),)
((())()(()()()(,)))
((((()(()))())),)
,
((()()()(())()()(()))(()(()())()),)
((())()(()())((),))
((((())((()))()()()())()(()(),)))
(()(())()(()())(()(())),)
(()()()(())()(),)
((()())(()()()()(())())(())(,))
(()(()(())(()())()()(()(),)))
((())(()),)
(()(()())()(),)
(()((())())()()()(()(()))()()()()()(,))
(()()((,)))
((())()(())()(((()))()())((()))(,))
(()()(()())()()()()(())(,))
((())()(()(())()()(()))(()),)
((())(()()()(())()())((()))()()()()(,))
(()()(())()()(())(()()(())()())(,))
,
((()((()()())))(())(),)
((())(()(()()()(((()))))()()(),))
(()(())(),)
((,))
(()((())()()),)
(()()(),)
(()()()()(())(())(()()(()),))
(()()()()((())()()(()))(()()(())())(),)
((()(()()(())()))()(),)
(()(()),)
(()()()()(()()(()(())()()())()),)
(((),))
(()(()(,)))
(()(()(()))((()))()()(),)
(()()()()((())())(,))
((()()(()()())(()(()()()((,))))))
(()((())(()())())()(((,))))
(()()(())(()()()()()()())()((()(),)))
(()((()))((()())),)
((())(()()()()(()),))
(((())(())((())))()(((),)))
((())()(()((()())(,))))
((())()()(()()((),)))
(()((())((,))))
((()()()(()))()()()()()(()(),))
(()()()(())(),)
((())()(,))
,
,
(()(()()(())()(()()))(),)
(()()()(()())(()(())()())(),)
(()(()())((),))
(()(()()),)
((()(())(())())(),)
,
(()(()((())())(())()(,)))
(()(,))
(((())()(()()())())()((()),))
(()(())(()()()((()))(()))()()(,))
(()((()()())()())(,))
(((()()),))
((()(()()()())((())))()(,))
((())(()()(())())()()(())()()(),)
((()((),)))
((()()()())()()()()((()))(,))
(()(()())((())(()))(()(),))
(()((()())()()((()()()(),))))
(((()()(())()((()))(())))((()),))
(()()(())(()()(())()()(())(,)))
,
((,))
(()()()()()(()(()())((())((())))),)
(()(())()(),)
((()()((())()())()((())(()))((),)))
(()()()(())(())()()()()()((),))
((())()((()())())()((())((,))))
((())(()())()()()()()(()())((()()(,))))
,
((()(())()()(())(()())(),))
(()(()((()())((())()))()()()),)
((())()(())(())(,))
((())(()())(((()))()((,))))
(()(()())(((()()()))),)
(((())()()())()(),)
(()(())(()())()()()((,)))
(((()))(())(()())((,)))
(((())()()(())(())())()()()()((,)))
(()(()((())(,))))
(()(())(()())()(()()())(),)
(()()()(()(,)))
(()(())()()((())()()())()(,))
((()()(()))(())(())()((())()()()())(),)
((()(())()()((()))())()(),)
(()(())()(),)
((())()()(()()(()(((,))))))
(()()()()(()(()())()())()(,))
(()(()())(()())(()(),))
(()((())((()(())))(())(()(())(,))))
(((())()(()()())((,))))
(()()()()()(())()()()()(,))
(()()()(())(()()()()())(),)
(()()()()(())(())()(())()(,))
(,)
((()())()(())((())()()(()()))(),)
(()(())(()()()()),)
(()()()()(())(()()()(())(()))(,))
,
(()()()((())())(()(),))
(()(())()()()(())()((),))
((),)
(((())())((),))
(((()()))((),))
(()((()(,))))
(()()()()()()((()()())())()()(())(,))
((()()(())(,)))
(((()))(()()(),))
((()()()(()())(())()),)
((())()(),)
(()(()()())(()())((()),))
((())(()()((()(,)))))
(()()(,))
((()())()()(())()()(),)
(()(((()()))()()()(((()),))))
((()(,)))
(()((()()))()()()()()((())()()()),)
((())()(()())()((),))
(()()(())()((()))()()(())((,)))
((())()()(()(()()())((())()()())()(),))
((()()(()())(),))
(()((()))()()(())(())()(),)
((())()(()()()())(())(()()),)
(()()()(())(()(),))
(()()((()))(()),)
(()(())(())((()))()((,)))
(()()()()(())(()()(()))(())(,))
((()(()()()()()()())(())((()(,)))))
(((((()))))()()()()((,)))
((()()()()()()())((,)))
(()()(())(()())(()())(())()()(),)
(()()(())()()()((),))
((()())(())()(()())()()(,))
(()((()()()(())),))
((()())()(),)
(,)
(((()())(())(()())()()()(),))
((((()()()())()()()())(),))
(((()))()(()(()(((())))))()()(,))
(()()()(()(),))
,
(()(()),)
((())()(((),)))
(((())())()((()()))(),)
(((())(())(())()()()((,))))
(()((())()()())()(((),)))
(((()(())())(),))
(()(),)
((()()())((()())(())(,)))
(((())()(())()(())())(),)
(()(()())(()()(()()()),))
(()(()()(()(()()()())())()(,)))
(()()(,))
,
((()()(())(())()(,)))
(()()()((((()))),))
((((()()))(())()()()(()())(,)))
(()(()())()(()(()()()(,))))
(,)
((())((())(())(,)))
(()()()(())()()(()()()())()()(,))
((())()(()((()))((()))())(())(),)
,
(((()))(())()()(()()),)
(()()()()(()()())()(()(()()(()))),)
(()(()())()(()((,))))
((())()()(()())()()(()()()),)
((())()()()(())((,)))
((())(())((())()(()())(()(,))))
,
((),)
((())((())(()())((,))))
(()((())()(()(()))())((),))
(()(())()((()((())()(())())()()))(),)
(()((()(())((())()())))((((())),)))
(()()()(())()(())()()(()((,))))
((()())(()())()()()((,)))
(((()))()()()(())()(()()()),)
((())(()())()()((()))(()()())(,))
(()()(()())((()(())(,))))
,
((()())(()()(()))()(),)
(((()(())()))(())(()()(),))
((()(((())))()(())()()(())())()()(),)
(()((())())()(,))
((()())(()(())((())),))
(()(),)
,
((())(())()(()()((())()(())()(),)))
(()()()()((),))
(((((((())))()))(())(),))
(()((()))()()()(()(((,)))))
(()()(()()())(,))
(()(()()()((())(()))())((),))
(()()()()((())()),)
((())()()()()()(((()())))(())()(),)
(()((()()())(())()()(()),))
(()()()(()())()(())()()()(((,))))
(()()(),)
((()(()()))()(()()()((,))))
(()(()((()),)))
(()((),))
(()(())((()(()))(()(()()()))())(),)
(()(()())()()((()()))((()()()()))()(),)
,
,
(()()()()((((,)))))
(()(())()()()()(()())()()(,))
((()(()())((()()))()(((,)))))
(((()(()())()()))()(,))
(()(((()))(,)))
(()(()())(()()(),))
((((()()())))(),)
(()()((()()()()))((,)))
(((())(()())(()))(())()(,))
((()()()(()())()()()(),))
(()()((())())()(())()(())(())(),)
,
(((()()(()()())))(()())((,)))
(()(()())()(()())(,))
(()(())()(,))
(()(()())((())()())(()(),))
(()()(())()(()(()()())(()())(()))(),)
(((())(),))
(()()()()(()(())()()(),))
((((()())()(,))))
(()((())()()())((),))
(()(())()()()()(,))
(()(())()((()()())()()())()(),)
((()(()(())(())())()()()(),))
(,)
((())((())()(()()(()))()()()()),)
(()((()()()(())))()()()(())()(,))
((()(())((())(,))))
(()()(())(),)
(((())((()),)))
(()(()(()(())()))((((),))))
(()()()(()(()((())()((()))()()),)))
((()())()()(())(()()()(())),)
(()()()()(((()())(())()))(),)
(()()((())())(),)
((,))
((()(()())),)
((())(())()()(())(()((())))()(()),)
(((())()()()((())())())((()))()(),)
(()()()()((())())(()(),))
,
((()(())()(()))(())()(()()())(())(,))
((())(())((()()()()())()()(())(),))
,
(()()()()(()()()()())(()())()()()(),)
(()()()()()(,))
((())(())(((()))()),)
((,))
(()()((())(,)))
(((()(()(,)))))
(()(()()()((()))()()(,)))
((())((()()()))()()()()(),)
(()(())()(()()()()()()()()()()()(,)))
(()(())()()()()(())()()()((),))
(()()()((()))(((())()())()()())(,))
(()()()()()()()(())()()(())(()),)
((())((())()(()()),))
,
((())(())()((()))()()(()(,)))
((((()))())((()()(()()))(),))
((((()))(())())()()()()()()()()((,)))
((())()(((()))(()))((())())(),)
(()(()(,)))
(()(()((()())(())(),)))
((()((()))()()((),)))
(()()()(()())(()()(,)))
(()(()(())(()()()(()))()()()),)
(()((())()())()()()()(,))
((())(()()())((,)))
(()()(()()()())()((())()(()))(,))
((())((),))
,
(()(()())(()())()(()())()()(),)
(()()(((())((()()()))())()(())())((),))
((()()())(())()()()(())(()()(),))
(()()(())(()())()((,)))
((()()((()))(())()())()()()()()(),)
((()((()())(()()()))(),))
(()(()()()(),))
(()()()()()(,))
(()(())(()()),)
((())(()(())())()(()(()))(())(),)
(()((,)))
(((()())(()()()())),)
(()(())()((()))(()(()))()(()),)
,
(()(()())((()()()()()(())(()),)))
(()((,)))
(()()()(((()))()),)
((()(()()())(())()(())(())(,)))
((())()(())((,)))
(((())()())(())(()),)
(()(()((())))(()),)
(()((())(()(())))()(,))
(()(())()((((,)))))
(()()((())())(())()(,))
(()(()(()))(((()))()(),))
((()()()()()()(())(),))
(()(,))
(((())()()())((,)))
(()(()((())())(())(((,)))))
(()(()())((())),)
(()(())((()())((()())()()(())())(,)))
((())()()(()())((())()())(()())(),)
(()(()(())())(())((()()),))
(()(())()(())()()()(())(,))
((()(()(())()()())(,)))
(()(((())))()()()()()((()))()()(,))
((())()((()(())())())()()()(()),)
,
(()()(())(())(())()((,)))
(()()(()(()(())()()(,))))
((()((,))))
(()()(()(,)))
((()()())((())()())()(()()),)
((()())((())())((())()(),))
(((()))()()()()()(()((())()()),))
(()(((((()))))()()()),)
(()(())()(()(),))
(()((()))()(()(()(,))))
(()(()(()()())())()(()())(),)
((()())()()(()())()(())(()())(),)
,
(()()()(),)
(()()(()())((())()()())()(,))
(()(((),)))
((())(())(()(()((),))))
(((())(()()))()(()((()())())(),))
(()(())(())()((())())()(),)
(()((())(()())(()()())()())(,))
(()(())(()(()()))(()(()))(,))
(((()())()()())(),)
(,)
(()()((()()()()()()(())())(,)))
(((())()()()(())()()(,)))
(()()(())((())(()),))
((())(())(()())(())(())(()())(()())(),)
(()()()()()()(((())))(())((),))
(()()(()()((()())()()()))((),))
(((()())(()))(),)
(()((()())()()()())(()()()(()))((),))
(()(()()()()(()),))
((()()())(()()()(()))()((())(,)))
(((())()((()((())()(),)))))
(()()()()(()(()))()()(())(((),)))
(()()()()()()()((())()()())(())(,))
(()()(()())(())()()(())((),))
((()())()((()()()(,))))
((())()()(()(()()()))((()(())),))
(()(()((())())()()(,)))
(()()(),)
(()(()()()()()()()()(,)))
,
,
(()(())(())()((,)))
,
(()(())(()(()((())()))())(),)
((())((()))()(())(())((,)))
(((()(())((()())))()()())((())((),)))
(()()((()))()(())()(()()),)
(()()(())(()()()())(()(,)))
(()(()(()())()((()(())(())())())()(),))
((())(()()()()(()()()()())())()()(),)
((()()())(())((()()())())((()))()(,))
(()(()(),))
((()()())(,))
(()(())()(((()())()))((,)))
(()((())(()))()(),)
((()),)
((())()((()))()(),)
((((())(()(()))(()())))()()(()())(,))
(()()((,)))
((,))
(()()()((()(())))(()())(,))
(()((()(())((()))()()())()),)
(()(()((())())()()(()(()),)))
(()()(()()(()(())()()(()(),))))
(()()()(((())))((())(())(),))
(()()(()())(()()(()())())()()(),)
,
,
(()()()((()()))()(()())()(),)
((()(((())))(,)))
(()()()(()(),))
(()()()(())(())(,))
((()())(())()(()()())(),)
(()((())()(())()()()()((()(),))))
(((())(()))()((),))
(()((,)))
(()()(,))
((()()())()(()(())(())),)
,
(()(()()()(()()()()(,))))
(()(())(()()())()(()(),))
((()()((()()()((,))))))
((()())()()()(()()((,))))
,
((()()()((())())())(,))
(((()(()()())())(()))((,)))
((())()()(())()(()()(()))()()(,))
(((()(())()))()()()()(())()(()),)
(()()()(()(()()()()()(()(),))))
,
(()(())()()()()((),))
((((())))()()()(())()(()(,)))
(()(()())((()()(()()))()(,)))
(()()(()())()()(((()()))()(()())),)
((())()()(())((()))(())((,)))
(()()()()()()(())(()())(),)
((()()())(()()(()(())))()()((),))
(((())()())()()(()())()(,))
(()(())()(()(()))((()))()(,))
((()(()))(()()(()(()))(())),)
((()()()())()()()()()()(,))
(,)
((())((()()())()()),)
(()((())()()())()((())()),)
((())()(()(()()())())()(())(())()((),))
(()(()(())()()()((()))()()(,)))
,
(()()(()()(())()())()()(()()(,)))
((()(())()()(())()()()())()()(()),)
(()(())(())()()()()(()()(),))
(()()(()(((())(()))((()(,))))))
,
(((())())()(()(()()()())(,)))
((())()()(()()()(,)))
(((())((()))()()()())(()),)
(()()(()())((((()))))()(()()())(),)
(((())()())()()()(()())(,))
((())((())())()((),))
(((()())(())()())()()(())(()()((())),))
(()(()()()(())())()((,)))
(()(()())()()(())((),))
((()()()(()()())()(),))
((())(((()))()()())(,))
((()()()())()()()(())(()(())())(),)
(()()()()()(())()(()())((,)))
(()()(())(())(()())()(()(()))(,))
(()(()()())((())())((()))(,))
((())(),)
(((()))()()(())(())(()())(),)
((())(()()(()())(()))()()(()()(,)))
(()(()((()))()((())()())()()(),))
(()()(()(()()()()())()(()(,))))
((())()(())()()()()()()()((,)))
,
((()()(()(()))()()(()())(),))
(()(())()()()()(())()(),)
(()()(()()(()),))
((())(()(()(()())())()()())(,))
(()()(()())()()()((),))
((())(((),)))
(()(()(()(()))()()()(()()())()()()),)
(()()()(,))
((()()()()())()((()))()(()(,)))
(()(()(())())(())((()))()()(,))
((()()(()()))(())(),)
(((()),))
((()(())(())())()()(,))
(()(()()())(()()()()(,)))
((()),)
,
(()()(()())(),)
(((()()()()()())(()),))
(()(((())(()())(),)))
((()(())(((())))()(()))(()()(()),))
(()(),)
((()(()))()()()()(())(,))
((()()(()()(()()()())(()))((,))))
((()())()()(())((()())(),))
(()()(())(()()()((())()),))
(()()((())(()()(),)))
,
((()(())(()))()(()())()()((),))
,
(()()()((())),)
(()()()()((()),))
(((()))()(())((()()))((()())),)
(()()(()(()())()()()(())((())))()((,)))
(((())()()(()))(()())()(())(,))
(()(())((()())(())(,)))
(((),))
((()(()))()(())()(((())()())),)
(((())(()(())()()))()()((,)))
,
(()()()()(()),)
((),)
((())()(()(()))()(),)
(((,)))
(()()(()())()(()()())()()()((,)))
,
(()(()())(()()()(()())(())()()((,))))
(()(),)
(()(()()())()()(,))
(()()(()())()()(())(),)
(()(()(()()()()())(())(()))(,))
((())()()()(()()()),)
(()()()()((()())()()(())()()((),)))
,
(((()))()()()()()()(,))
(()(())(()()())(),)
(((()())())(()()(()()),))
(()()()()()()()()((()()(,))))
((())()()()(((),)))
(()()(()()()()((()))()()())()(,))
(()(()()()(()))(())()(())((,)))
((())((())()()()(())())(()(,)))
((,))
(()(())(,))
(((),))
((())(((()((()())()())())((()),))))
((()(()(()))((),)))
(()((()))()()(()(())())()(())(),)
(()(())((())(()()()())(())()()())(),)
(()(())()()(((()(()))(())))((,)))
((()(,)))
(()()()(()()()(),))
(()(())()()()()()(()()((()))()(,)))
(((()()())())(())(()(,)))
((((()()()()(())()()))())()(())(),)
(()(())((())()()())(,))
(()(())()()()((((()))))()(())()(((),)))
(()()()(()(()()))(())(())()(,))
(()(()())(())(,))
(((()))(()(()))(())(()()())(,))
,
((()(())())()()(),)
(()()()()()()()()()()(()(()()()()),))
(()((())((())))(),)
(()(())()(())((()))((),))
((())()()()()()()((()(),)))
((()()()()()(),))
(()(()()()()()()(())(),))
(((()))()()()()()(),)
((())((,)))
((()())()(())()()()(())()()(,))
((()())()()((())()()((,))))
(()()()()()((),))
(((((())))(())())(,))
(,)
(,)
((()(((())()),)))
(()(()()(,)))
,
(()()((()))()()()(()()((()()))(,)))
(()(((()((())())()))()()())(,))
,
(()()(()()()()()()()(())(())((),)))
(()()(())()()()()((),))
(()()(()())()(())(()()(())(,)))
